,0,1,2
0,45.75,38.708,55.0
1,49.375,32.0,58.0
2,33.375,22.0,43.0
3,34.375,30.25,38.0
4,65.875,50.958,83.0
5,40.75,45.375,42.0
6,15.125,10.25,23.0
7,67.36099999999999,58.25,92.0
8,33.75,25.583,32.0
9,41.083,25.375,31.0
10,66.5,56.125,81.0
11,56.472,55.903,90.0
12,53.625,43.458,75.0
13,17.5,17.583,22.0
14,16.75,15.25,29.0
15,46.0,40.111,52.0
16,27.875,22.25,46.0
17,44.875,34.25,29.0
18,36.125,34.291,56.0
19,54.25,51.583,54.0
20,51.625,44.25,62.0
21,14.125,20.875,29.0
22,38.0,29.833,50.0
23,22.75,19.375,22.0
24,20.875,12.875,28.0
25,20.625,15.75,23.0
26,21.5,15.75,33.0
27,6.5,6.625,9.0
28,2.5,3.125,11.0
29,15.625,12.625,31.0
30,26.25,25.25,46.0
31,14.25,10.25,14.0
32,13.25,9.625,15.0
33,28.125,29.083,39.0
34,42.458,44.5,44.0
35,22.0,14.766,29.0
36,34.75,26.833,48.0
37,25.875,21.25,37.0
38,27.611,22.6,29.0
39,22.875,16.469,14.0
40,43.375,44.125,49.0
41,66.875,61.875,63.0
42,36.5,27.5,43.0
43,39.625,32.736,57.0
44,29.875,26.958,35.0
45,53.125,36.125,59.0
46,27.5,18.875,30.0
47,19.125,17.75,18.0
48,25.25,19.458,33.0
49,37.125,31.583,50.0
50,58.625,41.25,55.0
51,42.75,27.958,48.0
52,19.125,14.1,14.0
53,48.75,38.5,49.0
54,50.5,40.510999999999996,70.0
55,62.375,46.375,68.0
56,27.125,23.75,35.0
57,22.5,20.833,32.0
58,24.75,22.0,22.0
59,33.5,26.778,36.0
60,17.375,14.125,15.0
61,18.75,17.5,16.0
62,7.125,8.75,12.0
63,33.75,27.25,35.0
64,15.375,12.208,15.0
65,27.125,21.5,39.0
66,30.5,22.5,42.0
67,37.875,39.5,53.0
68,34.625,23.208,40.0
69,27.625,18.75,36.0
70,51.375,43.833,59.0
71,14.25,9.375,13.0
