0,1,2,3,4
9.068816587641896e-06,5.272373755827892e-06,5.490676407141348e-06,9.989153815607605e-06,3.327767402330439e-06
4.501961077608516e-06,4.340384924038163e-06,2.639865533709483e-06,1.1024235565151539e-05,1.0806673013301877e-05
5.9003885008679924e-06,3.6248007934583916e-06,1.3275791445564323e-10,2.5615135027922408e-05,2.572409187719988e-06
9.95072127074503e-06,2.412266923970895e-06,2.2823655537940466e-06,1.541918367497651e-05,4.185683328283008e-06
8.096652435066591e-06,2.8361356374228484e-06,4.235070394734331e-06,1.9697522466644246e-05,2.733854015353347e-06
4.957324269475526e-06,9.068172219196446e-09,3.8862868724485643e-10,1.8168644364554742e-05,6.4634351309715815e-06
5.87729559127314e-08,3.1959071623402506e-07,1.1436937138477755e-06,1.4193196283147006e-05,8.425030591700295e-06
7.348237450506267e-06,4.064320677993016e-06,3.0980619165861616e-06,2.0829995022010746e-05,8.225862560604832e-06
4.224946576272392e-06,1.9044290602967623e-06,1.5370786525765938e-07,1.9675018754950067e-05,5.207167049218386e-06
1.0567998546568886e-05,1.6225363246945261e-06,1.360689337196707e-07,1.8019867788812368e-05,5.73758302654849e-06
6.269124490118564e-06,2.2596238735510703e-06,2.562479028627935e-06,2.383524690202298e-05,6.49278689979792e-06
6.249895738873876e-06,1.5901898850047746e-08,4.016053488177571e-06,2.1192720557780885e-05,1.2142781696293318e-06
4.657857007205712e-06,2.8272178247642783e-06,1.7758184287641062e-06,2.2995880734224296e-05,6.2592635835615185e-06
4.334312715339096e-06,1.3822768829886853e-06,3.1142344013801324e-10,1.7962351920323244e-05,2.01916305124534e-06
3.44773641268154e-08,1.2862253456411556e-07,4.343006416538481e-09,2.0048917837024274e-05,2.2238056461392943e-06
4.2748115164619845e-06,1.906262997757999e-06,4.753620515428323e-06,1.2181383256173165e-05,1.0259441802360183e-05
3.802683037329253e-06,2.4803514638948593e-07,3.78448472223286e-11,2.443446121358618e-05,5.970461315931444e-07
6.3996129097200236e-06,4.076967671914008e-06,7.459931749282908e-08,9.367531199010604e-06,1.4928875621826042e-05
1.1803423412638759e-06,4.640479570271451e-06,3.468815816925703e-06,2.195573626466748e-05,1.690708187722349e-06
7.467066726354534e-06,8.27623558766438e-07,1.5665483864526247e-06,6.16886435688246e-06,1.9854408382291474e-05
3.693358115037964e-07,4.091146883636297e-06,5.182115237010777e-07,2.560347658477093e-05,3.4773712260460574e-06
3.841082068589612e-06,1.2663894838588054e-06,1.2554095311589858e-07,7.35875428950609e-06,8.204914869991641e-06
6.26555488454953e-06,5.8996240958228155e-06,7.970757911417696e-10,1.3014376308280368e-05,4.863406828336518e-06
6.319771222642196e-07,1.8717264052820655e-06,4.27303025800669e-06,1.3352199436404445e-05,1.7976909719574555e-06
