0,1,2,3,4
6.7660848861998624e-06,9.011439523613152e-06,3.2225859220555914e-06,5.418561218696734e-06,5.647212354241221e-06
4.973176602358013e-06,2.2901629941417145e-05,1.350626745555877e-06,3.621245857946724e-08,2.0996612234805654e-07
1.7428820345116686e-07,2.514379742213907e-05,4.779026661426116e-06,3.6547403030372116e-08,7.765685487921837e-07
2.9975345609834846e-06,2.026042934536063e-05,1.22484770047641e-06,1.737280939239973e-08,4.19140616416441e-06
5.108763914251695e-07,2.2836203780507256e-05,3.840651308527071e-06,1.6504830691010697e-06,2.2324870323508467e-06
1.0554578554076892e-13,2.2520410576497505e-05,7.706703044182566e-15,5.713820394486106e-12,1.0371005111184103e-07
1.6782437511150176e-11,1.850895914078309e-05,1.12111737525374e-12,3.973824058864492e-07,8.488579034190808e-13
3.594344093085331e-06,2.8784337614875148e-05,3.3657262930825296e-06,1.027248084994325e-07,8.142387846807249e-07
2.040355711423126e-07,2.3241496843407175e-05,6.637929876603641e-08,4.2808212231878047e-10,6.637358735979014e-08
1.4198647310216135e-06,2.336210980385318e-05,5.716650769262821e-08,9.879994419438962e-11,3.349697330897895e-06
5.815282509589829e-09,2.931221938929106e-05,1.1915469111039308e-09,2.5303292748763143e-07,1.917216011648377e-06
1.1700198811653723e-09,1.9352052192154384e-05,7.073410491890017e-10,2.5280379597672314e-06,3.0887430539391693e-06
3.7303523079895697e-06,2.5924870011257506e-05,1.757942622717361e-07,7.696962725033996e-07,1.8936696393444469e-07
7.628270981454729e-07,1.4420225956464325e-05,1.4463192335136465e-06,1.0750368690005727e-06,1.9712676531193753e-06
3.6715612083785795e-12,1.7033724110105825e-05,3.3412546676398617e-13,2.6109429860679293e-08,1.3259736162068112e-09
1.5527970107725008e-06,2.2174450821232557e-05,3.715475020294742e-07,1.586205057325718e-06,9.492638200925407e-07
1.902341751697133e-11,2.1621642790935844e-05,1.451574074807051e-12,3.42396719998096e-12,2.0785383649053938e-07
3.686807755959651e-06,2.1864358527037634e-05,2.5514945526882306e-06,6.634225901015006e-08,1.768821455602893e-06
4.0070726452261755e-06,2.037379196651233e-05,2.8759186693712775e-06,1.192698047171206e-06,9.874731277101697e-08
2.236731395668134e-08,2.208166935500082e-05,3.161535600611814e-08,2.1164891520864224e-06,3.2204936193747144e-06
2.274700159493309e-06,2.3798381583059036e-05,2.0755775196133645e-06,2.9879501128454384e-07,2.8922188849888656e-08
1.5066511958895796e-07,1.3729208187253124e-05,9.315965777430154e-07,1.224526194042297e-07,1.5650039336741379e-06
7.88368908514454e-06,1.8121147809515978e-05,1.9957083161864725e-06,1.0207321415237438e-14,2.1842677363207533e-07
1.8086689802925024e-06,1.518226124439876e-05,3.215478493942601e-08,8.677115767059819e-07,1.8898702414840878e-08
9.468506983681075e-15,1.917716553604275e-05,2.3946513074807434e-16,1.6834391538865286e-07,2.7161068791028063e-11
1.9388224960038039e-07,1.5924001913175244e-05,2.2330369597980896e-08,9.452220031709354e-07,8.030152837888016e-10
5.121694965339049e-06,1.5648026247189453e-05,2.4861319284521957e-06,9.575186949464261e-07,1.8392509227106615e-10
4.145918164505445e-06,1.442774197319656e-05,3.3377704737652036e-06,1.9788542728987634e-07,3.119699184039647e-08
5.99797044976858e-08,8.357558314086005e-06,1.9033176430335085e-08,4.685976941316184e-13,5.904630291149971e-10
2.030018367690613e-06,1.529677695889786e-05,8.191974374662187e-08,3.6958986861680915e-08,2.5062036509472197e-06
1.0729639984687747e-06,7.2887994516897756e-06,1.6026533115079453e-08,6.57503318165531e-06,9.84681060981144e-07
2.519556272584114e-06,8.533189718282347e-07,1.8001577834508735e-06,3.965188395543701e-06,2.452508831939552e-06
1.0192553205740287e-11,1.3569757808868266e-05,1.891635302624517e-12,6.903445281687331e-10,3.3733414206193834e-06
3.755057213998844e-06,1.696247930415085e-05,1.198094223218296e-06,1.483854145119882e-07,9.82075182665958e-07
3.60984365869593e-14,2.3207100026413513e-05,4.599843705158896e-15,1.3557579637473176e-06,1.7489804003444724e-07
6.300311169850324e-07,1.589518461503143e-05,3.9834191362925195e-07,1.9506350066938523e-06,3.796403057746616e-09
5.966048538634465e-07,2.161571033108035e-05,1.42046802200398e-07,5.26921311405265e-07,3.7767620295826826e-06
1.6740078014774422e-06,1.5719391762726643e-05,1.1784187958652563e-06,2.8138972723912624e-06,2.7813902782626396e-07
1.6141905280914768e-13,2.066728520978438e-05,2.9861247262192514e-16,1.0538997268303534e-06,2.0540971904327248e-08
5.433606186033722e-07,1.4885476510655838e-05,3.0022070648028606e-06,1.6821705893010532e-06,1.428618911553112e-08
2.3951854115173407e-06,2.4350198571204112e-05,5.64233960773105e-07,2.0588114128842922e-07,1.12808849782267e-06
9.563426065131205e-07,2.733986847179562e-05,4.4011075472588216e-06,2.4009413171935637e-07,3.6873874295708524e-09
2.3441735562951774e-12,2.5152395465101806e-05,3.253813392035843e-13,1.7961743956844639e-06,4.494752814348693e-09
6.834094882395239e-07,1.899004647671165e-05,9.2234638902573e-08,6.0514192379979475e-06,2.3820955554405108e-07
1.9395175201704323e-09,1.9196336252675833e-05,6.801521757435001e-10,2.248642053352069e-06,2.2256689554563666e-08
2.2502141170641695e-06,2.229722529601224e-05,1.2431443090409768e-06,2.1914377619356004e-06,3.311083293525865e-07
9.345358381638711e-12,2.3326050984529078e-05,4.784572219233355e-13,3.836672160032645e-12,4.968901264367544e-07
6.786013596394102e-09,1.5072753499019424e-05,1.5676017081217893e-08,3.172353389908792e-06,1.0117032618193337e-09
5.495223235992118e-06,1.6058095827087806e-05,4.59405748058166e-07,4.1229708802325506e-07,3.0438854754636596e-06
9.033960620857446e-13,1.9613856884096925e-05,1.6736970700011703e-14,1.095225012916e-06,1.7243786426983312e-06
9.904153083619543e-10,2.5617594313710386e-05,2.000407953513599e-10,1.1040911308100913e-06,2.809202742427143e-08
3.8434306842447985e-13,1.812938284602907e-05,2.128262963695809e-14,2.431322023469016e-06,4.974078805692511e-09
4.1871437744786105e-19,2.172939916001559e-05,9.475427079690896e-24,3.335465428496647e-13,8.36406364637919e-09
2.2502457480302315e-15,3.0389316580368653e-05,9.84325090377539e-17,8.292842600764199e-09,6.730295901674168e-07
1.1096323112722296e-12,2.3613760332238267e-05,1.5326212870500127e-13,8.851860326241721e-07,3.260741326262807e-10
2.332942757859373e-09,2.8684978915786117e-05,7.285947114378459e-09,2.5187884993056428e-06,2.039039075434391e-09
4.169084966867298e-09,2.2390023282083032e-05,1.4446364914306274e-10,3.191879837297086e-07,1.6537104645646234e-10
5.975709265100917e-17,1.4777573282443626e-05,2.0742472123541974e-19,3.1162372700910715e-06,5.966427828041193e-12
6.022669872958632e-06,1.7054488250216505e-05,1.8454282088283618e-06,7.357911838808997e-11,1.0722662670057106e-07
1.340916800537781e-09,2.190055864612853e-05,1.748560395404654e-10,1.367101101967004e-06,7.919293219517806e-11
4.260770012376977e-06,2.0657578282663236e-05,2.2847128498418976e-06,1.2778689563878831e-17,5.82086439935307e-07
8.596016644517537e-12,2.0204668146984146e-05,1.418352613949681e-13,3.4752258299323093e-13,3.548478734516807e-07
1.3886040775248867e-10,1.0488330246376558e-05,2.3631352637250785e-11,1.83644363799724e-06,2.13408329213972e-09
4.906489310322062e-12,2.4701531188580117e-05,5.2946582026797454e-12,4.2263565082359645e-08,2.7743002395771928e-11
6.823712060827437e-06,1.656882999243263e-05,5.222679740118263e-07,6.369859982223744e-16,4.759135898641544e-07
3.1908981901920324e-14,2.421823084175131e-05,1.4158463465451351e-14,1.802050170774159e-08,6.509278562271792e-09
1.3288221717810877e-13,1.7514440551746822e-05,9.700831308260638e-15,2.750227393157141e-07,5.860015655191281e-06
9.125109695310882e-10,2.597481457672841e-05,8.096138081693671e-11,6.94427129937134e-07,5.647289309742306e-11
1.1702154946049254e-14,2.0409944601492898e-05,1.9725962081618796e-15,2.7839338341746953e-06,8.451759291077417e-11
7.712475881546967e-08,2.304445239015815e-05,1.5236882182135666e-09,1.8134676548590274e-07,1.0582643010682977e-10
1.3671731477573055e-07,2.69311830443326e-05,8.169217731035588e-09,7.41651071137965e-08,7.286596039851054e-08
3.35597175465995e-11,2.2253126904756897e-05,8.066818200388866e-13,1.1840187751809468e-09,5.0531825848088613e-14
1.744863892920954e-11,1.410619937332802e-05,1.1724087987968153e-12,1.1098390434157168e-06,2.0261284654790876e-10
2.531629468161688e-06,1.1593389699048693e-05,7.862238925474175e-07,1.4433603140903043e-10,2.5484561226168735e-06
2.0638282727189494e-06,1.629597468193638e-05,1.290422971109029e-06,1.5788022336881499e-06,1.7582035511041847e-09
3.197910708616572e-08,9.754860727831101e-06,2.0772855526029033e-08,6.1997549737323595e-06,7.872290023901843e-09
4.291420608799615e-07,2.1292917651667143e-05,2.7345602912644212e-09,1.7772179984984755e-06,1.7760542437766312e-09
3.125658174124321e-06,1.7723208055305832e-05,9.048384414038317e-07,1.551445030009838e-06,2.609721689833201e-06
4.253509292870533e-07,1.8589442846314043e-05,3.1861287231887775e-08,3.029952420893701e-08,1.1491717599381969e-11
2.0452924963845976e-13,2.8905464916846322e-05,6.698001718410415e-15,2.1422407705614443e-07,3.035400591868632e-11
2.3306341424617534e-06,2.1967170978671866e-05,4.030983585921185e-06,4.302675359158051e-06,2.388880875273841e-07
6.567271828546746e-18,1.9836760601940593e-05,1.833777486172581e-17,2.3375803048437322e-07,7.909625704921829e-14
2.8099587416235254e-06,1.9082641200909728e-05,2.5809316239184463e-07,2.001794528868439e-06,9.183542485665715e-10
5.515880452830469e-17,1.7367292786571065e-05,1.5094506136472456e-19,4.82233606286844e-07,1.9346400127576284e-09
6.792741446012934e-17,1.674907737011905e-05,4.823316508273342e-19,5.512185030574273e-07,1.510592092886348e-09
5.132720742064782e-15,1.222654580991965e-05,1.2518996021767443e-16,3.929278443952074e-07,4.479048695058615e-07
2.458045308659976e-21,1.5053033549541048e-05,4.1513712076289764e-24,2.439293582576409e-06,2.5019396066663115e-13
1.1449987918257866e-09,9.222557872308308e-06,2.3942463797225687e-10,1.2231981425969238e-06,2.9998746371920767e-06
2.1177689197858135e-06,1.4824372298388869e-05,3.8329724960196373e-07,1.4822587384753289e-06,1.860752801474685e-09
1.0777840258705746e-10,2.670849400038194e-05,7.919134853410327e-12,2.5674798884232974e-06,1.285897226921255e-06
4.872130763000815e-15,1.0638793410620419e-05,2.1142610199425556e-16,5.274315466772243e-07,6.005294243458136e-13
7.421968267130122e-07,1.9392398716371964e-05,1.5489510068534501e-06,1.0129870427585072e-11,2.656666308440648e-06
2.0820239206310587e-06,2.0575593533045068e-05,9.961194082419643e-07,4.052423994561383e-10,8.42896234603967e-07
1.8638420490460163e-06,1.4685478125393306e-05,2.9055141565806547e-07,1.3883075708369522e-06,9.948920819408823e-07
3.6436022537088782e-06,1.6026823764696642e-05,1.083555095763654e-06,3.783377920849996e-08,6.74192733938102e-08
1.4421947120481748e-06,3.252332650152581e-06,7.114755283705872e-08,1.1165296405873732e-42,7.02200135417994e-17
4.188465579693362e-12,1.7488676208011836e-05,2.3991575995918185e-13,9.504619771246103e-08,4.12317383393874e-06
7.135675151081697e-08,1.7656374711421314e-05,2.39532138122156e-07,1.1984227086153764e-07,1.1632479248930398e-05
