0,1,2,3,4
4.799593998964475e-06,2.8052745201176537e-06,6.706397183695561e-06,4.210156963288559e-06,4.708082754310276e-06
1.5404722624142003e-06,3.844104974657045e-08,1.4832773567756487e-05,3.2787129543523376e-06,4.203316264032992e-06
3.738476148359999e-06,2.431521541670741e-12,1.9937988738160924e-05,2.4921928323987847e-06,5.544016728693743e-07
4.792304610911118e-06,1.267749555709869e-11,1.2145534478907216e-05,1.9885600633028316e-06,4.87760174947138e-06
3.3664475439609553e-06,9.092841416334244e-10,1.4808824133655231e-05,2.168718790634597e-06,6.161641013030315e-06
2.19625266331629e-06,7.486260705739292e-18,1.6604763144081788e-05,1.2830641250559285e-08,1.9638781029759386e-06
2.486761351651402e-10,1.1414222603044703e-07,1.4132797431250894e-05,2.5783142807596066e-07,2.658211907288776e-06
6.495571623929308e-07,3.959364644504531e-17,1.6064501258044892e-05,3.4275167806356124e-06,1.016236833317626e-05
1.971742233801615e-06,2.3798798137098885e-08,1.6447447487813938e-05,1.3405734941157273e-06,2.0100481903418383e-06
4.7467577902949805e-06,2.902234110111787e-15,1.5079949204348283e-05,1.2678669204817233e-06,4.1023070302185844e-06
3.890477880491098e-06,2.9023418558322353e-06,2.0498993818741676e-05,1.4682117600542752e-06,4.561084774678947e-07
1.8591332454680722e-06,7.514463479487154e-14,1.4345401425341494e-05,2.5291097720360307e-08,6.7542589509560014e-06
2.3386723549595596e-06,1.9001520204430815e-06,1.926074896933031e-05,2.0656535741430824e-06,1.3964005916966812e-06
3.3470716562114548e-06,8.723667504898478e-08,1.2782972528173569e-05,1.0291064921903993e-06,2.0503604307990671e-07
9.90995679806204e-09,7.202564243708002e-14,1.5033135060044969e-05,3.0455618337595647e-07,5.572391265601922e-09
1.4761241884721302e-06,1.7007844440585424e-07,1.429989903871662e-05,1.6621757657537876e-06,5.943565108570848e-06
2.229130882011168e-06,3.1601132165796394e-16,1.803640610766906e-05,1.9488271910648448e-07,2.7477429729098623e-12
2.9560505131143214e-06,7.534000233976748e-12,1.4588182910923261e-05,2.993741259952008e-06,4.088012622393618e-06
2.2215468406485634e-07,6.90625390642356e-07,1.5379639557085798e-05,3.5794093127827604e-06,3.247103153822123e-06
1.2360169594829552e-06,1.8394151695192162e-16,1.3433245212295435e-05,7.19973136776795e-07,9.55833636203749e-06
3.158817383142748e-08,5.151014545966159e-10,1.9435968386502344e-05,2.8239045231288703e-06,1.8306595639040764e-06
2.2031463974799735e-06,4.2892062662115104e-08,1.004719272256891e-05,8.032225307727021e-07,1.6432257124708138e-06
2.2826948553003293e-06,2.416485787075616e-19,1.1357257211588872e-05,4.665063821195524e-06,2.8417968008229936e-06
7.840297084812549e-10,6.061560954895005e-10,9.21345001547227e-06,1.4044237958105121e-06,4.988000335436644e-06
5.172324474607494e-07,9.830148428519163e-07,1.6192849533843653e-05,8.254969387212246e-10,6.846473724523047e-11
7.362201860941515e-08,9.133141302337228e-07,1.284500620220242e-05,6.76446991379892e-07,1.3398076206890204e-06
6.24268122761662e-09,3.773311381831033e-06,1.1560100655760824e-05,3.5594610806665165e-06,8.286313882601031e-11
8.341316751778385e-08,2.6660855884751768e-08,9.463944248185803e-06,3.8146131716570074e-06,2.955352695614906e-06
