0,1,2,3,4
2.0941519263540453e-08,3.466647164164165e-08,5.39995889747191e-09,6.765280309105778e-08,2.9243828200448504e-07
1.296666614869158e-08,2.3915811384017626e-08,4.1571408900554114e-08,2.3578786222116037e-08,2.5797790710991736e-07
8.569476963350233e-08,4.889080997514823e-08,1.206263038322306e-08,7.181220781943074e-09,1.8478900747825963e-07
5.541505678241791e-08,7.753738686290787e-08,4.3575790840170306e-10,7.200228556856674e-08,1.4299074852663117e-07
1.2825624526607098e-08,1.8376311632234633e-07,3.282766638845062e-08,4.997426251681173e-08,1.3568308867893808e-07
2.358947486479887e-10,8.771310596477366e-08,1.1033692209409005e-10,8.25208590348465e-08,2.0663232908565596e-07
2.4039118465152268e-08,1.5745042995887563e-08,2.8755439547221208e-09,5.7927822966401936e-08,1.4280556691356625e-07
4.570783144537987e-09,2.5224124755730873e-07,1.0383067848345631e-08,9.685083152165069e-08,3.6634798853413155e-08
6.505544734071467e-09,4.3488100038302265e-08,1.8312888698958835e-09,6.204907231713275e-08,2.255809848988417e-07
1.4076275888521696e-11,1.0384183921679477e-07,1.984161529651647e-12,2.1124092416761678e-08,1.9874689356983944e-07
1.0464521976091773e-08,1.867468140434344e-07,6.550720706111235e-09,2.1189955598778865e-08,2.1595991483845127e-07
3.923215833395899e-09,1.912234919748347e-07,3.692036113150937e-08,7.207978768465643e-08,1.1800828213947365e-07
1.3226901662191577e-07,1.1337507816245417e-07,3.6660972249252406e-09,1.4306712192782415e-08,1.6035687344797572e-07
2.172828641870274e-08,1.3787291821428443e-07,5.743092901827019e-09,2.751435186731401e-08,6.916422796257667e-08
5.486681327221326e-09,1.133364492602009e-07,2.9325123294800638e-08,1.0772725096352191e-08,6.937976667527979e-08
2.0110320937389256e-10,7.022696477967671e-08,1.0225608224579062e-08,2.7700173310343765e-08,2.833826067434584e-07
3.277007154068055e-08,7.708096038922407e-08,4.197533035979955e-08,4.022693822883122e-08,9.484395458146062e-08
6.730915902415252e-26,1.1754864767081348e-08,1.3073351500559376e-21,7.2962292998904845e-09,3.545490076877549e-07
3.413008637765007e-08,8.929396887934908e-09,2.5028170257494474e-08,2.5280884481579913e-08,2.660465654192866e-07
9.241064257429965e-15,2.3412611383965087e-07,6.170877052604083e-13,2.0662661894817907e-09,1.6453189102267847e-07
